WardCode,WardName,Borough,Year,Month,Predicted_Burglaries,Lower_Bound,Upper_Bound,Classification
E05011472,Norbury & Pollards Hill,E09000008,2019,3,7,1.4360557,11.747377,Medium
E05011473,Norbury Park,E09000008,2019,3,6,1.2624474,11.57377,Medium
E05009398,Norland,E09000020,2019,3,6,0.60619307,10.917515,Medium
E05013527,North Acton,E09000009,2019,3,9,3.9260526,14.237375,Medium
E05011106,North Bermondsey,E09000028,2019,3,8,2.6885376,12.99986,Medium
E05013760,North Cheam,E09000029,2019,3,5,0.0,9.761498,Low
E05013528,North Greenford,E09000009,2019,3,12,7.31041,17.621733,Medium
E05013529,North Hanwell,E09000009,2019,3,7,2.172152,12.483475,Medium
E05013554,North Harrow,E09000015,2019,3,5,0.0,9.744324,Low
E05013784,North Richmond,E09000027,2019,3,5,0.157094,10.468416,Medium
E05011107,North Walworth,E09000028,2019,3,9,3.9588723,14.270195,Medium
E05014066,Northbury,E09000002,2019,3,4,0.0,9.515168,Low
E05014016,Northcote,E09000032,2019,3,7,2.0949144,12.406237,Medium
E05013530,Northfield,E09000009,2019,3,9,4.304978,14.616301,Medium
E05013531,Northolt Mandeville,E09000009,2019,3,11,5.4892583,15.800581,Medium
E05013532,Northolt West End,E09000009,2019,3,12,6.795049,17.10637,Medium
E05011228,Northumberland Heath,E09000004,2019,3,7,1.6929865,12.004309,Medium
E05013596,Northumberland Park,E09000014,2019,3,13,7.5811343,17.892456,Medium
E05013505,Northwick Park,E09000005,2019,3,8,2.3596296,12.670952,Medium
E05013574,Northwood,E09000017,2019,3,5,0.0,10.052765,Low
E05013575,Northwood Hills,E09000017,2019,3,11,5.417297,15.728619,Medium
E05013533,Norwood Green,E09000009,2019,3,6,1.1706238,11.481946,Medium
E05009399,Notting Dale,E09000020,2019,3,7,2.138783,12.450106,Medium
E05011108,Nunhead & Queen's Road,E09000028,2019,3,11,5.710977,16.022299,Medium
E05013687,Oakwood,E09000010,2019,3,6,0.6185169,10.929839,Medium
E05011474,Old Coulsdon,E09000008,2019,3,5,0.0,9.90493,Low
E05011109,Old Kent Road,E09000028,2019,3,7,1.4373913,11.7487135,Medium
E05013942,Old Malden,E09000021,2019,3,4,0.0,9.046334,Low
E05014001,Orpington,E09000006,2019,3,9,3.5534978,13.8648205,Medium
E05013626,Osterley & Spring Grove,E09000018,2019,3,7,1.5904775,11.9018,Medium
E05014108,Oval,E09000022,2019,3,7,2.3125763,12.6238985,Medium
E05013744,Palace & Hurlingham,E09000013,2019,3,9,4.3308434,14.642166,Medium
E05013688,Palmers Green,E09000010,2019,3,7,1.7787466,12.090069,Medium
E05011475,Park Hill & Whitgift,E09000008,2019,3,5,0.0,9.947149,Low
E05014067,Parsloes,E09000002,2019,3,8,2.7877169,13.099039,Medium
E05013745,Parsons Green & Sandford,E09000013,2019,3,7,1.8305559,12.141878,Medium
E05011110,Peckham,E09000028,2019,3,5,0.0,10.127447,Low
E05011111,Peckham Rye,E09000028,2019,3,4,0.0,9.2470255,Low
E05009400,Pembridge,E09000020,2019,3,8,2.475061,12.786383,Medium
E05014002,Penge & Cator,E09000006,2019,3,14,8.886719,19.19804,Medium
E05013534,Perivale,E09000009,2019,3,11,5.8653235,16.176645,Medium
E05013729,Perry Vale,E09000023,2019,3,9,4.097342,14.408665,Medium
E05014003,Petts Wood & Knoll,E09000006,2019,3,6,0.97813845,11.289461,Medium
E05013802,Pimlico North,E09000033,2019,3,7,1.6645498,11.975872,Medium
E05013803,Pimlico South,E09000033,2019,3,5,0.295959,10.607281,Medium
E05013576,Pinkwell,E09000017,2019,3,13,7.3852935,17.696615,Medium
E05013555,Pinner,E09000015,2019,3,9,4.252956,14.564278,Medium
E05013556,Pinner South,E09000015,2019,3,8,3.072989,13.384312,Medium
E05013535,Pitshanger,E09000009,2019,3,9,3.9076543,14.218977,Medium
E05014004,Plaistow,E09000006,2019,3,6,0.7950783,11.1064005,Medium
E05013918,Plaistow North,E09000025,2019,3,7,2.121933,12.433255,Medium
E05013919,Plaistow South,E09000025,2019,3,6,1.1029515,11.414274,Medium
E05013920,Plaistow West & Canning Town East,E09000025,2019,3,8,2.4730825,12.784405,Medium
E05013921,Plashet,E09000025,2019,3,4,0.0,9.254333,Low
E05014087,Plumstead & Glyndon,E09000011,2019,3,11,5.838885,16.150208,Medium
E05014088,Plumstead Common,E09000011,2019,3,8,2.5544944,12.865816,Medium
E05013821,Pollards Hill,E09000024,2019,3,6,0.87962055,11.190943,Medium
E05013689,Ponders End,E09000010,2019,3,11,5.971145,16.282467,Medium
E05009328,Poplar,E09000030,2019,3,3,0.0,8.2016,Low
E05013506,Preston,E09000005,2019,3,7,1.490448,11.80177,Medium
E05013667,Primrose Hill,E09000007,2019,3,10,5.1783557,15.489677,Medium
E05011476,Purley & Woodcote,E09000008,2019,3,9,4.262051,14.573374,Medium
E05011477,Purley Oaks & Riddlesdown,E09000008,2019,3,6,0.8048949,11.116217,Medium
E05009401,Queen's Gate,E09000020,2019,3,6,0.43947983,10.750802,Medium
E05013804,Queen's Park,E09000033,2019,3,8,3.1141973,13.42552,Medium
E05013507,Queens Park,E09000005,2019,3,12,6.358932,16.670254,Medium
E05013508,Queensbury,E09000005,2019,3,10,4.4511323,14.762455,Medium
E05013979,Rainham & Wennington,E09000016,2019,3,9,3.73348,14.044802,Medium
E05013822,Ravensbury,E09000024,2019,3,6,1.0622969,11.373619,Medium
E05013746,Ravenscourt,E09000013,2019,3,6,0.72261906,11.033941,Medium
E05013557,Rayners Lane,E09000015,2019,3,7,1.9676285,12.278951,Medium
E05013823,Raynes Park,E09000024,2019,3,10,4.5939116,14.905233,Medium
E05009402,Redcliffe,E09000020,2019,3,12,6.9178042,17.229126,Medium
E05013668,Regent's Park,E09000007,2019,3,19,14.09539,24.406712,High
E05013690,Ridgeway,E09000010,2019,3,6,0.61125994,10.922583,Medium
E05014017,Roehampton,E09000032,2019,3,11,5.3518214,15.663143,Medium
E05011112,Rotherhithe,E09000028,2019,3,10,4.445414,14.756737,Medium
E05013509,Roundwood,E09000005,2019,3,8,2.9819894,13.293312,Medium
E05013558,Roxbourne,E09000015,2019,3,8,2.632093,12.943415,Medium
E05013559,Roxeth,E09000015,2019,3,9,3.8188958,14.1302185,Medium
E05013922,Royal Albert,E09000025,2019,3,4,0.0,8.857271,Low
E05009403,Royal Hospital,E09000020,2019,3,11,6.1519465,16.463268,Medium
E05013923,Royal Victoria,E09000025,2019,3,4,0.0,9.562853,Low
E05013577,Ruislip,E09000017,2019,3,9,3.4286466,13.739969,Medium
E05013578,Ruislip Manor,E09000017,2019,3,8,3.316609,13.627932,Medium
